student_id,age,gender,state,city_tier,college_tier,branch,degree,cgpa,backlog_history
STU00062,25,Male,Delhi,3,3,AI & DS,BE,7.56,0
STU00063,24,Male,West Bengal,2,3,Electronics,BTech,7.54,1
STU00064,21,Female,Maharashtra,2,3,Computer Science,BE,7.59,1
STU00065,23,Female,West Bengal,1,3,Civil,MCA,6.72,0
STU00066,21,Female,Karnataka,3,3,AI & DS,BTech,5.93,0
STU00067,23,Female,Tamil Nadu,2,3,Mechanical,BTech,7.6,0
STU00068,21,Male,Maharashtra,3,2,Electronics,BTech,7.4,0
STU00069,20,Male,Karnataka,2,3,Electronics,MCA,6.49,0
STU00070,21,Male,Tamil Nadu,2,3,Information Technology,BE,7.49,2
STU00071,20,Male,Telangana,1,3,Mechanical,MCA,9.81,0
STU00072,24,Female,Tamil Nadu,2,3,AI & DS,BTech,7.02,0
STU00073,21,Male,Delhi,1,2,Information Technology,BE,7.96,1
STU00074,23,Other,Delhi,2,3,Computer Science,MCA,7.13,0
STU00075,24,Female,Gujarat,3,3,Computer Science,BE,8.27,0
STU00076,20,Male,Telangana,1,3,Computer Science,BTech,8.26,0
STU00077,22,Male,Gujarat,3,1,Computer Science,BTech,8.97,0
STU00078,24,Female,Telangana,2,3,Mechanical,MCA,7.65,0
STU00079,25,Male,Delhi,1,3,Electronics,BTech,7.05,0
STU00080,21,Male,Delhi,3,2,Electronics,BE,6.68,0
STU00081,24,Female,Telangana,2,2,AI & DS,BTech,7.17,0
STU00082,20,Female,Gujarat,1,2,AI & DS,BE,7.43,0
STU00083,22,Male,Gujarat,2,1,Civil,BTech,8.08,2
STU00084,20,Female,Uttar Pradesh,3,3,AI & DS,MCA,7.27,0
STU00085,23,Male,Maharashtra,1,3,Electronics,BE,7.06,0
STU00086,20,Female,Telangana,3,3,Mechanical,BE,6.76,0
STU00087,24,Male,West Bengal,2,3,AI & DS,BTech,7.13,2
STU00088,20,Male,Telangana,1,2,Computer Science,BTech,7.46,0
STU00089,25,Male,Delhi,2,2,Information Technology,BTech,6.78,0
STU00090,25,Female,Karnataka,2,2,Mechanical,BE,7.1,0
STU00091,20,Female,Uttar Pradesh,2,3,Mechanical,BE,7.04,0
STU00092,22,Male,Maharashtra,3,1,Computer Science,BE,8.16,0
STU00093,21,Male,West Bengal,3,3,Computer Science,MCA,7.69,0
STU00094,21,Female,Tamil Nadu,1,2,Mechanical,MCA,8.76,0
STU00095,25,Male,Uttar Pradesh,2,2,Civil,BE,7.37,0
STU00096,25,Female,Gujarat,2,3,Information Technology,MCA,8.93,1
STU00097,25,Male,Delhi,2,1,Electronics,BE,7.82,0
STU00098,22,Male,Gujarat,2,2,Electronics,BE,7.44,0
STU00099,20,Female,Tamil Nadu,3,2,Information Technology,BE,7.34,0
STU00100,24,Female,Delhi,2,2,Computer Science,BE,8.8,0
STU00101,22,Male,West Bengal,1,2,Mechanical,BTech,8.37,1
STU00102,23,Female,Maharashtra,3,3,Civil,BE,7.34,0
STU00103,21,Female,Gujarat,1,3,Mechanical,BE,7.86,0
STU00104,22,Female,Delhi,1,3,Electronics,BE,8.38,1
STU00105,24,Male,Telangana,2,1,AI & DS,MCA,8.34,1
STU00106,21,Male,Tamil Nadu,2,1,Civil,MCA,6.26,1
STU00107,22,Female,Maharashtra,1,2,Computer Science,MCA,7.48,0
STU00108,20,Female,Tamil Nadu,3,2,Computer Science,BE,8.32,0
STU00109,21,Male,West Bengal,1,2,Electronics,BE,8.64,1
STU00110,24,Male,Gujarat,2,3,Computer Science,BE,7.09,0
STU00111,23,Male,Delhi,2,3,AI & DS,BTech,6.71,2
STU00112,24,Male,Delhi,1,1,Information Technology,BTech,8.5,1
STU00113,22,Female,Tamil Nadu,3,3,Mechanical,MCA,7.18,0
STU00114,24,Male,Gujarat,1,1,Electronics,BTech,7.38,0
STU00115,22,Male,Gujarat,3,2,Computer Science,MCA,7.53,0
STU00116,20,Male,Uttar Pradesh,3,3,Mechanical,MCA,6.51,0
STU00117,23,Male,Delhi,3,2,Computer Science,MCA,7.56,0
STU00118,23,Male,Maharashtra,2,3,Electronics,MCA,8.22,2
STU00119,25,Male,Telangana,3,3,Computer Science,BE,6.75,0
STU00120,25,Female,Telangana,3,3,AI & DS,BE,7.67,0
STU00121,25,Female,Tamil Nadu,2,3,AI & DS,MCA,8.97,0
STU00122,23,Female,West Bengal,1,3,Mechanical,BE,7.28,0
STU00123,24,Male,Delhi,2,2,Computer Science,BE,6.72,0
STU00124,23,Other,Uttar Pradesh,3,3,Electronics,BTech,8.1,0
STU00125,22,Male,West Bengal,3,2,Information Technology,BE,6.99,0
STU00126,20,Male,Gujarat,1,3,Civil,BTech,6.43,0
STU00127,23,Male,Delhi,2,2,AI & DS,BE,7.74,0
STU00128,21,Female,West Bengal,3,3,AI & DS,MCA,8.07,0
STU00129,25,Male,Karnataka,3,3,Electronics,BTech,6.65,2
STU00130,22,Male,Telangana,2,3,Mechanical,MCA,7.03,0
STU00131,25,Male,Telangana,3,2,Electronics,MCA,8.02,0
STU00132,20,Male,Gujarat,3,1,Information Technology,BTech,7.3,3
STU00133,24,Female,Karnataka,3,3,AI & DS,MCA,6.71,1
STU00134,25,Male,Delhi,3,3,AI & DS,BE,6.51,1
STU00135,24,Female,Delhi,2,1,Electronics,BTech,9.71,0
STU00136,22,Other,Maharashtra,3,2,AI & DS,MCA,6.33,1
STU00137,20,Male,Maharashtra,2,3,Civil,BE,9.07,0
STU00138,24,Female,West Bengal,3,3,Computer Science,BTech,7.24,0
STU00139,22,Female,West Bengal,1,2,Mechanical,BE,7.26,0
STU00140,22,Female,West Bengal,1,3,Computer Science,BTech,7.46,0
STU00141,23,Female,Maharashtra,3,2,Information Technology,BTech,9.14,0
STU00142,20,Female,Delhi,2,3,Computer Science,MCA,6.23,0
STU00143,21,Female,Uttar Pradesh,2,3,Mechanical,BE,7.79,1
STU00144,24,Female,Maharashtra,1,3,Civil,MCA,6.15,0
STU00145,25,Male,Delhi,2,3,Electronics,MCA,6.93,0
STU00146,25,Male,Tamil Nadu,2,1,Civil,BTech,8.35,0
STU00147,21,Male,West Bengal,2,1,AI & DS,MCA,8.21,0
STU00148,21,Male,Delhi,3,3,Electronics,MCA,6.72,0
STU00149,20,Female,Delhi,2,2,Electronics,MCA,6.77,0
STU00150,22,Male,Karnataka,2,1,Civil,BTech,7.09,0
STU00151,22,Male,Tamil Nadu,3,1,Computer Science,BTech,9.21,1
STU00152,22,Female,Gujarat,1,3,Mechanical,BTech,7.22,2
STU00153,25,Male,Uttar Pradesh,3,3,Electronics,MCA,8.21,1
STU00154,20,Female,Karnataka,1,3,Civil,BTech,7.33,0
STU00155,24,Male,Gujarat,1,3,Computer Science,BTech,6.83,0
STU00156,22,Female,Gujarat,1,1,Civil,BTech,8.6,2
STU00157,21,Male,West Bengal,1,2,Electronics,BTech,6.49,2
STU00158,25,Male,West Bengal,3,3,Computer Science,BE,7.35,0
STU00159,21,Female,Telangana,3,2,AI & DS,BTech,8.88,0
STU00160,22,Male,West Bengal,1,1,Electronics,MCA,7.19,0
STU00161,25,Female,Karnataka,1,3,Electronics,BE,7.18,0
STU00162,23,Male,Maharashtra,3,2,AI & DS,MCA,7.29,0
STU00163,21,Male,Delhi,2,3,Civil,BE,7.22,0
STU00164,23,Male,West Bengal,2,3,Computer Science,BTech,7.42,0
STU00165,24,Female,West Bengal,1,2,AI & DS,BE,8.59,1
STU00166,24,Female,Delhi,3,3,AI & DS,BTech,5.2,2
STU00167,24,Male,Uttar Pradesh,1,2,Computer Science,BTech,8.05,0
STU00168,23,Male,Tamil Nadu,1,3,Mechanical,MCA,7.53,1
STU00169,25,Female,West Bengal,3,2,Mechanical,BTech,8.0,0
STU00170,24,Male,Delhi,2,1,Civil,MCA,8.66,3
STU00171,25,Male,Gujarat,1,1,Mechanical,BE,8.96,2
STU00172,25,Male,Gujarat,2,3,AI & DS,BE,9.37,0
STU00173,21,Female,West Bengal,1,2,Civil,BE,6.26,0
STU00174,22,Male,Uttar Pradesh,3,1,Mechanical,BE,6.47,0
STU00175,22,Female,Uttar Pradesh,1,3,Information Technology,BE,5.84,0
STU00176,21,Female,West Bengal,2,3,AI & DS,BE,6.89,0
STU00177,20,Male,Maharashtra,1,3,Information Technology,MCA,6.6,1
STU00178,22,Male,Telangana,3,2,Computer Science,BE,7.22,0
STU00179,24,Female,Tamil Nadu,2,2,Mechanical,MCA,7.74,1
STU00180,22,Male,Gujarat,1,3,Electronics,MCA,8.15,1
STU00181,21,Male,Karnataka,2,1,Electronics,MCA,8.1,0
STU00182,24,Male,West Bengal,2,2,Civil,BTech,7.35,0
STU00183,24,Male,Gujarat,1,3,Information Technology,MCA,5.87,0
STU00184,25,Male,Karnataka,2,3,Mechanical,BTech,7.49,0
STU00185,25,Male,Maharashtra,1,2,Electronics,BTech,7.78,0
STU00186,24,Male,Uttar Pradesh,2,3,Information Technology,BTech,5.73,0
STU00187,25,Female,Uttar Pradesh,1,1,Civil,MCA,7.98,1
STU00188,20,Male,Karnataka,3,2,Civil,BE,7.69,0
STU00189,22,Male,Tamil Nadu,2,1,Information Technology,BE,9.54,1
STU00190,20,Female,Gujarat,1,2,AI & DS,BTech,6.35,1
STU00191,20,Male,Tamil Nadu,3,2,Computer Science,BE,7.4,1
STU00192,20,Male,Uttar Pradesh,1,1,AI & DS,BE,7.23,0
STU00193,23,Female,Uttar Pradesh,3,3,Mechanical,BTech,6.59,0
STU00194,22,Female,Telangana,3,3,Civil,BE,8.01,0
STU00195,23,Male,Uttar Pradesh,3,3,Electronics,BTech,6.03,0
STU00196,24,Male,West Bengal,3,3,Electronics,BTech,6.21,0
STU00197,23,Male,Delhi,1,1,Civil,BE,7.78,1
STU00198,25,Male,Karnataka,2,3,AI & DS,MCA,8.84,0
STU00199,25,Male,Maharashtra,2,1,Civil,BE,6.85,0
STU00200,23,Male,Gujarat,2,3,Electronics,MCA,7.24,0
STU00201,21,Male,Tamil Nadu,3,3,Civil,BE,7.22,0
STU00202,21,Male,Gujarat,2,3,Mechanical,BE,7.11,2
STU00203,23,Male,West Bengal,1,3,Computer Science,BTech,7.62,0
STU00204,23,Male,Telangana,2,2,Computer Science,BE,7.83,2
STU00205,23,Male,Karnataka,2,2,Mechanical,BE,8.95,0
STU00206,21,Female,Uttar Pradesh,3,2,AI & DS,BE,7.78,3
STU00207,20,Male,Maharashtra,3,2,Civil,MCA,7.96,0
STU00208,22,Female,Karnataka,2,2,AI & DS,BE,7.7,0
STU00209,24,Male,Uttar Pradesh,2,3,Computer Science,BTech,6.99,0
STU00210,24,Female,West Bengal,3,1,Computer Science,BTech,8.27,0
STU00211,20,Female,West Bengal,1,1,Electronics,MCA,8.73,2
STU00212,22,Male,Tamil Nadu,1,3,Mechanical,MCA,8.74,0
STU00213,22,Female,Uttar Pradesh,3,2,Electronics,BTech,7.39,1
STU00214,21,Female,West Bengal,2,3,Mechanical,BTech,6.55,0
STU00215,23,Male,Telangana,2,1,Civil,MCA,8.76,0
STU00216,22,Male,Gujarat,2,1,Information Technology,BTech,9.22,0
STU00217,24,Male,Delhi,1,3,AI & DS,MCA,7.64,0
STU00218,22,Female,Telangana,3,2,Information Technology,BTech,7.45,0
STU00219,25,Male,Delhi,1,3,Civil,BTech,8.06,0
STU00220,22,Male,Maharashtra,1,3,Electronics,BTech,7.98,0
STU00221,24,Female,Karnataka,3,3,AI & DS,BTech,6.19,3
STU00222,23,Male,Delhi,3,3,Civil,BE,5.68,1
STU00223,22,Other,Maharashtra,3,3,Information Technology,MCA,7.26,0
STU00224,23,Female,Karnataka,3,1,Mechanical,BE,9.8,0
STU00225,21,Male,Delhi,3,1,Civil,BTech,8.37,1
STU00226,21,Male,Maharashtra,2,1,Computer Science,BE,7.26,0
STU00227,23,Male,Karnataka,2,3,Mechanical,MCA,7.85,1
STU00228,20,Female,Telangana,2,2,Civil,BTech,7.05,0
STU00229,20,Female,Telangana,3,2,Mechanical,MCA,7.38,0
STU00230,25,Female,Uttar Pradesh,1,2,Computer Science,MCA,7.63,3
STU00231,22,Male,West Bengal,1,2,Information Technology,BE,8.71,1
STU00232,20,Male,Uttar Pradesh,2,1,AI & DS,BTech,7.65,0
STU00233,23,Female,Gujarat,2,1,Electronics,BTech,7.59,1
STU00234,25,Female,Karnataka,1,3,Computer Science,BTech,8.53,0
STU00235,20,Male,Telangana,3,3,Information Technology,MCA,5.41,0
STU00236,23,Male,Karnataka,1,3,Mechanical,BE,6.2,0
STU00237,21,Female,Maharashtra,3,2,Electronics,MCA,7.76,1
STU00238,20,Male,Delhi,1,2,Information Technology,MCA,7.25,0
STU00239,23,Female,Telangana,2,3,Civil,BE,6.86,0
STU00240,21,Female,Delhi,1,2,Mechanical,MCA,7.11,2
STU00241,25,Male,Gujarat,1,2,Computer Science,BTech,6.91,0
STU00242,20,Other,Telangana,3,1,Computer Science,BTech,8.05,1
STU00243,22,Male,Tamil Nadu,3,2,AI & DS,MCA,6.09,0
STU00244,21,Male,Delhi,3,2,Mechanical,BE,7.64,2
STU00245,20,Male,Telangana,2,2,Electronics,MCA,8.08,0
STU00246,21,Male,Tamil Nadu,2,3,Information Technology,MCA,7.31,0
STU00247,24,Female,West Bengal,3,3,AI & DS,BE,6.37,0
STU00248,25,Female,Gujarat,3,3,Information Technology,MCA,6.93,0
STU00249,23,Male,Karnataka,1,3,Electronics,MCA,7.49,0
STU00250,21,Male,Gujarat,3,1,Computer Science,BTech,7.6,1
STU00251,24,Male,Delhi,2,3,Electronics,BTech,7.33,0
STU00252,21,Male,Telangana,3,1,Computer Science,BTech,7.98,1
STU00253,22,Male,Tamil Nadu,1,3,Mechanical,MCA,7.57,1
STU00254,24,Female,Telangana,2,1,Computer Science,BE,7.9,2
STU00255,20,Female,Maharashtra,2,3,Mechanical,BTech,6.38,1
STU00256,25,Female,Uttar Pradesh,2,2,AI & DS,MCA,7.35,2
STU00257,21,Male,Uttar Pradesh,3,3,Computer Science,BE,6.93,0
STU00258,21,Female,Telangana,2,1,Computer Science,BE,7.75,0
STU00259,21,Male,Uttar Pradesh,1,2,Civil,BTech,7.52,0
STU00260,21,Male,Telangana,2,3,Information Technology,BE,6.69,0
STU00261,21,Female,Karnataka,2,3,Civil,MCA,7.12,0
STU00262,22,Male,Tamil Nadu,1,3,Information Technology,BTech,7.54,0
STU00263,23,Male,Tamil Nadu,1,2,Civil,BTech,7.03,0
STU00264,22,Male,West Bengal,2,3,Mechanical,MCA,7.69,0
STU00265,25,Female,Telangana,1,3,AI & DS,BE,6.47,0
STU00266,22,Male,West Bengal,2,1,Mechanical,MCA,7.33,1
STU00267,22,Male,Maharashtra,3,3,Electronics,MCA,6.96,0
STU00268,23,Other,West Bengal,3,2,Computer Science,BTech,7.62,0
STU00269,20,Male,Karnataka,2,3,Civil,MCA,7.09,0
STU00270,21,Male,Maharashtra,1,3,Mechanical,MCA,8.15,0
STU00271,20,Female,West Bengal,3,3,Civil,BTech,6.65,0
STU00272,25,Male,Telangana,3,3,AI & DS,BTech,5.52,0
STU00273,23,Male,Tamil Nadu,3,3,Computer Science,BTech,5.96,1
STU00274,24,Male,Tamil Nadu,2,2,Electronics,BE,7.78,0
STU00275,20,Female,Telangana,1,2,AI & DS,MCA,8.09,1
STU00276,24,Female,Telangana,3,2,Computer Science,MCA,6.26,0
STU00277,25,Male,Uttar Pradesh,2,3,Electronics,BE,7.4,0
STU00278,23,Female,Karnataka,2,1,Civil,MCA,7.34,0
STU00279,24,Female,Uttar Pradesh,2,2,Information Technology,MCA,7.01,1
STU00280,22,Female,Uttar Pradesh,3,3,AI & DS,BE,7.15,2
STU00281,21,Female,Uttar Pradesh,3,3,Civil,BE,7.21,0
STU00282,24,Male,Tamil Nadu,2,3,Information Technology,BE,6.64,1
STU00283,22,Male,Tamil Nadu,2,3,Information Technology,BTech,5.86,0
STU00284,21,Female,Maharashtra,3,2,AI & DS,BE,5.77,0
STU00285,20,Male,Uttar Pradesh,3,3,Information Technology,BTech,6.77,3
STU00286,23,Male,West Bengal,3,3,Computer Science,BE,5.97,0
STU00287,21,Female,Gujarat,3,1,AI & DS,BE,8.11,0
STU00288,22,Male,West Bengal,1,2,Information Technology,BE,8.69,0
STU00289,20,Female,Gujarat,1,3,Mechanical,MCA,7.75,2
STU00290,24,Female,Delhi,2,2,Civil,BTech,6.76,3
STU00291,23,Female,West Bengal,1,3,Electronics,MCA,8.12,1
STU00292,24,Male,Karnataka,2,3,Information Technology,BE,7.56,0
STU00293,25,Male,Karnataka,2,3,Information Technology,BE,7.45,3
STU00294,21,Female,Maharashtra,1,1,Mechanical,MCA,6.82,0
STU00295,24,Female,Karnataka,3,2,Electronics,BTech,6.82,0
STU00296,25,Male,Telangana,2,3,Information Technology,BTech,6.98,0
STU00297,21,Female,Tamil Nadu,1,1,AI & DS,BE,7.17,1
STU00298,21,Male,Maharashtra,1,3,Electronics,BTech,8.42,0
STU00299,22,Male,Gujarat,3,2,Information Technology,BE,8.4,0
STU00300,25,Female,Uttar Pradesh,2,1,AI & DS,MCA,7.44,1
STU00301,25,Female,West Bengal,2,2,Civil,MCA,6.46,0
STU00302,20,Male,Tamil Nadu,3,2,Electronics,BE,7.36,2
STU00303,24,Male,Uttar Pradesh,2,1,Information Technology,MCA,9.0,0
STU00304,22,Male,Telangana,3,2,Computer Science,MCA,7.51,0
STU00305,24,Female,West Bengal,1,2,Computer Science,MCA,7.19,0
STU00306,24,Female,Maharashtra,2,2,Electronics,BTech,6.96,0
STU00307,20,Male,Karnataka,2,2,Civil,MCA,6.93,0
STU00308,22,Female,Telangana,3,3,Civil,BE,7.44,0
STU00309,25,Male,West Bengal,1,3,AI & DS,BE,5.33,0
STU00310,25,Male,Tamil Nadu,1,3,Information Technology,BTech,5.22,1
STU00311,21,Male,Gujarat,3,3,Information Technology,BTech,6.46,0
STU00312,24,Female,Gujarat,3,1,Civil,BE,8.38,0
STU00313,23,Male,Maharashtra,3,2,AI & DS,BTech,7.64,0
STU00314,20,Male,Telangana,1,2,Electronics,BTech,7.3,1
STU00315,22,Female,West Bengal,3,3,Mechanical,BE,7.77,0
STU00316,22,Female,West Bengal,1,3,Electronics,MCA,7.35,2
STU00317,24,Female,Uttar Pradesh,1,3,Computer Science,BE,7.18,0
STU00318,21,Male,Gujarat,2,3,Electronics,BTech,9.07,0
STU00319,21,Male,Gujarat,1,3,Electronics,BE,6.97,0
STU00320,25,Male,West Bengal,3,2,Electronics,BE,7.52,0
STU00321,20,Male,Uttar Pradesh,2,3,Electronics,MCA,7.31,1
STU00322,24,Male,Uttar Pradesh,3,2,Electronics,MCA,7.99,0
STU00323,20,Male,Tamil Nadu,1,3,Civil,MCA,7.29,0
STU00324,24,Female,Maharashtra,2,3,Information Technology,BTech,7.52,0
STU00325,24,Male,Uttar Pradesh,2,3,Civil,BTech,7.83,0
STU00326,25,Male,West Bengal,1,3,Electronics,BE,6.07,0
STU00327,21,Female,Tamil Nadu,1,3,Civil,BE,6.95,0
STU00328,23,Male,Gujarat,1,3,Information Technology,BTech,5.5,0
STU00329,24,Male,Tamil Nadu,2,2,Mechanical,MCA,7.15,1
STU00330,23,Male,Gujarat,2,3,AI & DS,BE,7.25,0
STU00331,20,Female,West Bengal,3,3,Information Technology,BTech,7.85,2
STU00332,23,Female,Tamil Nadu,2,2,AI & DS,BE,8.09,1
STU00333,21,Female,Telangana,2,3,AI & DS,BTech,7.28,0
STU00334,20,Male,Tamil Nadu,2,3,AI & DS,MCA,5.42,0
STU00335,21,Male,Delhi,2,3,Computer Science,BTech,6.42,0
STU00336,25,Male,Maharashtra,2,3,Electronics,MCA,7.89,0
STU00337,25,Male,Tamil Nadu,2,1,Civil,BTech,7.45,0
STU00338,23,Male,West Bengal,2,2,Civil,BE,7.53,0
STU00339,24,Male,Telangana,3,2,AI & DS,BTech,8.69,0
STU00340,24,Female,Telangana,2,3,Information Technology,MCA,6.75,0
STU00341,25,Female,Uttar Pradesh,1,3,Civil,BTech,7.81,0
STU00342,24,Male,Tamil Nadu,2,3,Information Technology,BE,7.26,0
STU00343,25,Male,Gujarat,3,2,Computer Science,BE,7.13,0
STU00344,22,Female,Gujarat,1,3,Civil,MCA,7.59,0
STU00345,24,Male,Tamil Nadu,3,3,Information Technology,MCA,7.74,2
STU00346,21,Male,Maharashtra,3,1,Computer Science,BTech,7.49,3
STU00347,20,Male,Delhi,3,2,Civil,BE,6.79,0
STU00348,21,Male,Gujarat,1,2,AI & DS,BE,9.31,0
STU00349,24,Male,Uttar Pradesh,3,2,Electronics,BE,7.39,0
STU00350,21,Male,West Bengal,2,3,Mechanical,BE,8.26,0
STU00351,25,Male,Tamil Nadu,3,3,Electronics,MCA,6.46,0
STU00352,25,Female,Tamil Nadu,2,2,Electronics,MCA,6.79,0
STU00353,23,Male,Delhi,3,3,Mechanical,BTech,5.65,1
STU00354,23,Female,Tamil Nadu,1,1,Computer Science,BTech,7.74,0
STU00355,22,Female,Uttar Pradesh,3,2,Information Technology,BTech,7.5,3
STU00356,24,Male,Tamil Nadu,2,3,Mechanical,MCA,8.2,2
STU00357,21,Female,West Bengal,3,2,Computer Science,BTech,6.45,0
STU00358,25,Female,Delhi,3,2,Civil,BE,8.2,0
STU00359,21,Female,West Bengal,2,3,Civil,MCA,8.21,0
STU00360,23,Male,Maharashtra,1,1,Computer Science,BE,7.77,1
STU00361,22,Female,Telangana,2,2,Mechanical,BE,8.78,0
STU00362,21,Male,Delhi,2,3,Electronics,MCA,7.53,2
STU00363,21,Female,West Bengal,2,2,Civil,BE,7.66,2
STU00364,20,Female,Karnataka,2,2,Mechanical,BE,8.01,0
STU00365,20,Male,Delhi,2,3,Civil,MCA,8.26,0
STU00366,23,Female,Maharashtra,2,1,Information Technology,MCA,7.08,2
STU00367,25,Male,West Bengal,1,3,Information Technology,MCA,7.73,0
STU00368,25,Male,Telangana,3,3,Information Technology,BE,8.46,2
STU00369,24,Male,Telangana,2,3,Civil,MCA,6.82,2
STU00370,22,Female,Gujarat,3,2,Mechanical,BTech,7.9,0
STU00371,22,Female,Karnataka,3,3,Mechanical,MCA,7.4,0
STU00372,24,Female,West Bengal,2,3,Electronics,MCA,7.19,0
STU00373,23,Male,Maharashtra,2,3,Civil,BE,6.71,0
STU00374,21,Female,Delhi,2,2,Computer Science,MCA,6.94,0
STU00375,20,Male,Maharashtra,3,3,Mechanical,BE,7.78,0
STU00376,25,Male,Delhi,2,3,Mechanical,MCA,6.72,2
STU00377,22,Male,Maharashtra,3,3,AI & DS,BTech,7.47,2
STU00378,22,Female,Telangana,3,2,AI & DS,BE,7.27,0
STU00379,22,Male,Tamil Nadu,1,2,Mechanical,MCA,8.6,0
STU00380,23,Female,Gujarat,1,2,Civil,BE,8.4,2
STU00381,24,Male,Gujarat,2,2,Information Technology,BE,7.42,0
STU00382,20,Other,West Bengal,1,3,Electronics,BE,5.75,0
STU00383,21,Male,Karnataka,2,1,Civil,MCA,8.55,0
STU00384,25,Male,Telangana,1,1,Information Technology,BE,8.27,3
STU00385,20,Male,Karnataka,1,2,Electronics,BE,7.77,0
STU00386,24,Male,West Bengal,3,3,Information Technology,BTech,7.75,3
STU00387,21,Male,Gujarat,2,3,Information Technology,BTech,7.79,0
STU00388,24,Male,Maharashtra,1,3,AI & DS,MCA,7.04,0
